,tx_id,smb.session_id,smb.dialect,smb.command,smb.status,smb.named_pipe,smb.function,smb.disposition,smb.filename
13,0,0,2.??,SMB1_COMMAND_NEGOTIATE_PROTOCOL,STATUS_SUCCESS,,,,
15,1,0,3.11,SMB2_COMMAND_NEGOTIATE_PROTOCOL,STATUS_SUCCESS,,,,
14,2,79164837199881,3.11,SMB2_COMMAND_SESSION_SETUP,STATUS_SUCCESS,,,,
12,3,79164837199881,3.11,SMB2_COMMAND_TREE_CONNECT,STATUS_SUCCESS,\\ws101\IPC$,,,
16,4,79164837199881,3.11,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,FSCTL_QUERY_NETWORK_INTERFACE_INFO,,
11,5,79164837199881,3.11,SMB2_COMMAND_CREATE,STATUS_SUCCESS,,,FILE_OPEN,LSM_API_service
10,6,79164837199881,3.11,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,FSCTL_PIPE_TRANSCEIVE,,
9,7,79164837199881,3.11,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,FSCTL_PIPE_TRANSCEIVE,,
7,8,79164837199881,3.11,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,FSCTL_PIPE_TRANSCEIVE,,
8,9,79164837199881,3.11,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,FSCTL_PIPE_TRANSCEIVE,,
5,10,79164837199881,3.11,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,FSCTL_PIPE_TRANSCEIVE,,
6,11,79164837199881,3.11,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,FSCTL_PIPE_TRANSCEIVE,,
4,12,79164837199881,3.11,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,FSCTL_PIPE_TRANSCEIVE,,
3,13,79164837199881,3.11,SMB2_COMMAND_IOCTL,STATUS_BUFFER_OVERFLOW,,FSCTL_PIPE_TRANSCEIVE,,
2,14,79164837199881,3.11,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,FSCTL_PIPE_TRANSCEIVE,,
1,15,79164837199881,3.11,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,FSCTL_PIPE_TRANSCEIVE,,
0,16,79164837199881,3.11,SMB2_COMMAND_CLOSE,STATUS_SUCCESS,,,,
