,tx_id,smb.session_id,smb.dialect,smb.command,smb.status,smb.named_pipe,smb.function,smb.ntlmssp.user
17,0,0,2.??,SMB1_COMMAND_NEGOTIATE_PROTOCOL,STATUS_SUCCESS,,,
14,1,0,3.11,SMB2_COMMAND_NEGOTIATE_PROTOCOL,STATUS_SUCCESS,,,
15,2,65983179915269,3.11,SMB2_COMMAND_SESSION_SETUP,STATUS_MORE_PROCESSING_REQUIRED,,,
16,3,65983179915269,3.11,SMB2_COMMAND_SESSION_SETUP,STATUS_SUCCESS,,,svc_host
13,4,65983179915269,3.11,SMB2_COMMAND_TREE_CONNECT,STATUS_SUCCESS,\\HOST\IPC$,,svc_host
11,5,65983179915269,3.11,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,FSCTL_QUERY_NETWORK_INTERFACE_INFO,svc_host
12,6,65983381241869,3.11,SMB2_COMMAND_SESSION_SETUP,STATUS_MORE_PROCESSING_REQUIRED,,,svc_host
10,7,65983381241869,3.11,SMB2_COMMAND_SESSION_SETUP,STATUS_SUCCESS,,,WS$
9,8,65983381241869,3.11,SMB2_COMMAND_TREE_CONNECT,STATUS_SUCCESS,\\HOST\IPC$,,WS$
8,9,65983582568465,3.11,SMB2_COMMAND_SESSION_SETUP,STATUS_MORE_PROCESSING_REQUIRED,,,WS$
7,10,65983582568465,3.11,SMB2_COMMAND_SESSION_SETUP,STATUS_SUCCESS,,,Om.Lord
6,11,65983582568465,3.11,SMB2_COMMAND_TREE_CONNECT,STATUS_SUCCESS,\\HOST\IPC$,,Om.Lord
4,12,65983179915269,3.11,SMB2_COMMAND_TREE_DISCONNECT,STATUS_SUCCESS,,,Om.Lord
1,13,65983582568465,3.11,SMB2_COMMAND_TREE_DISCONNECT,STATUS_SUCCESS,,,Om.Lord
2,14,65983179915269,3.11,SMB2_COMMAND_SESSION_LOGOFF,STATUS_SUCCESS,,,Om.Lord
3,15,65983582568465,3.11,SMB2_COMMAND_SESSION_LOGOFF,STATUS_SUCCESS,,,Om.Lord
0,16,65983381241869,3.11,SMB2_COMMAND_TREE_DISCONNECT,STATUS_SUCCESS,,,Om.Lord
5,17,65983381241869,3.11,SMB2_COMMAND_SESSION_LOGOFF,STATUS_SUCCESS,,,Om.Lord
