,tx_id,smb.command,smb.status,smb.named_pipe,smb.function,smb.dcerpc.endpoint,smb.disposition,smb.filename
131,0,SMB1_COMMAND_NEGOTIATE_PROTOCOL,STATUS_SUCCESS,,,,,
130,1,SMB2_COMMAND_NEGOTIATE_PROTOCOL,STATUS_SUCCESS,,,,,
129,2,SMB2_COMMAND_SESSION_SETUP,STATUS_SUCCESS,,,,,
128,3,SMB2_COMMAND_TREE_CONNECT,STATUS_SUCCESS,\\DC02.DOMAIN\IPC$,,,,
126,4,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,FSCTL_QUERY_NETWORK_INTERFACE_INFO,,,
127,5,SMB2_COMMAND_CREATE,STATUS_SUCCESS,,,,FILE_OPEN,srvsvc
125,6,SMB2_COMMAND_WRITE,STATUS_SUCCESS,,,,,
124,7,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,NetrSessionEnum,,
123,8,SMB2_COMMAND_CLOSE,STATUS_SUCCESS,,,,,
122,9,SMB2_COMMAND_CREATE,STATUS_SUCCESS,,,,FILE_OPEN,wkssvc
121,10,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,FSCTL_PIPE_TRANSCEIVE,,,
120,11,SMB2_COMMAND_CLOSE,STATUS_SUCCESS,,,,,
119,12,SMB2_COMMAND_CREATE,STATUS_PIPE_NOT_AVAILABLE,,,,FILE_OPEN,winreg
117,13,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,FSCTL_PIPE_WAIT,,,
118,14,SMB2_COMMAND_CREATE,STATUS_SUCCESS,,,,FILE_OPEN,winreg
116,15,SMB2_COMMAND_WRITE,STATUS_SUCCESS,,,,,
115,16,SMB2_COMMAND_WRITE,STATUS_SUCCESS,,,,,
112,17,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,OpenUsers,,
114,18,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,BaseRegQueryInfoKey,,
113,19,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,BaseRegGetVersion,,
110,20,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,BaseRegEnumKey,,
111,21,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,BaseRegEnumKey,,
