,tx_id,flow_id,smb.session_id,smb.dialect,smb.command,smb.status,smb.request.native_lm,smb.request.native_os,smb.response.native_lm,smb.response.native_os,smb.share
24,0,96389474352537,0,NT LM 0.12,SMB1_COMMAND_NEGOTIATE_PROTOCOL,STATUS_SUCCESS,,,,,
22,1,96389474352537,4096,NT LM 0.12,SMB1_COMMAND_SESSION_SETUP_ANDX,STATUS_MORE_PROCESSING_REQUIRED,Samba,Unix,Windows Server 2022 Datacenter 6.3,Windows Server 2022 Datacenter 20348,
20,2,96389474352537,4096,NT LM 0.12,SMB1_COMMAND_TREE_CONNECT_ANDX,2148074242,,,,,\HOST\IPC$
25,0,96389681372727,0,NT LM 0.12,SMB1_COMMAND_NEGOTIATE_PROTOCOL,STATUS_SUCCESS,,,,,
23,1,96389681372727,4096,NT LM 0.12,SMB1_COMMAND_SESSION_SETUP_ANDX,STATUS_MORE_PROCESSING_REQUIRED,Samba,Unix,Windows Server 2022 Datacenter 6.3,Windows Server 2022 Datacenter 20348,
21,2,96389681372727,4096,NT LM 0.12,SMB1_COMMAND_TREE_CONNECT_ANDX,2148074242,,,,,\HOST\IPC$
11,0,216187880538377,0,NT LM 0.12,SMB1_COMMAND_NEGOTIATE_PROTOCOL,STATUS_SUCCESS,,,,,
9,1,216187880538377,4098,NT LM 0.12,SMB1_COMMAND_SESSION_SETUP_ANDX,STATUS_MORE_PROCESSING_REQUIRED,Samba,Unix,Windows Server 2022 Datacenter 6.3,Windows Server 2022 Datacenter 20348,
7,2,216187880538377,4098,NT LM 0.12,SMB1_COMMAND_TREE_CONNECT_ANDX,2148074242,,,,,\HOST\IPC$
10,0,216188494801387,0,NT LM 0.12,SMB1_COMMAND_NEGOTIATE_PROTOCOL,STATUS_SUCCESS,,,,,
8,1,216188494801387,4098,NT LM 0.12,SMB1_COMMAND_SESSION_SETUP_ANDX,STATUS_MORE_PROCESSING_REQUIRED,Samba,Unix,Windows Server 2022 Datacenter 6.3,Windows Server 2022 Datacenter 20348,
6,2,216188494801387,4098,NT LM 0.12,SMB1_COMMAND_TREE_CONNECT_ANDX,2148074242,,,,,\HOST\IPC$
31,0,846880018474505,0,NT LM 0.12,SMB1_COMMAND_NEGOTIATE_PROTOCOL,STATUS_SUCCESS,,,,,
29,1,846880018474505,2050,NT LM 0.12,SMB1_COMMAND_SESSION_SETUP_ANDX,STATUS_MORE_PROCESSING_REQUIRED,Samba,Unix,Windows Server 2022 Datacenter 6.3,Windows Server 2022 Datacenter 20348,
27,2,846880018474505,2050,NT LM 0.12,SMB1_COMMAND_TREE_CONNECT_ANDX,2148074242,,,,,\HOST\IPC$
30,0,846881322097386,0,NT LM 0.12,SMB1_COMMAND_NEGOTIATE_PROTOCOL,STATUS_SUCCESS,,,,,
28,1,846881322097386,2050,NT LM 0.12,SMB1_COMMAND_SESSION_SETUP_ANDX,STATUS_MORE_PROCESSING_REQUIRED,Samba,Unix,Windows Server 2022 Datacenter 6.3,Windows Server 2022 Datacenter 20348,
26,2,846881322097386,2050,NT LM 0.12,SMB1_COMMAND_TREE_CONNECT_ANDX,2148074242,,,,,\HOST\IPC$
18,0,1466563857077282,0,NT LM 0.12,SMB1_COMMAND_NEGOTIATE_PROTOCOL,STATUS_SUCCESS,,,,,
16,1,1466563857077282,2050,NT LM 0.12,SMB1_COMMAND_SESSION_SETUP_ANDX,STATUS_MORE_PROCESSING_REQUIRED,Samba,Unix,Windows Server 2022 Datacenter 6.3,Windows Server 2022 Datacenter 20348,
14,2,1466563857077282,2050,NT LM 0.12,SMB1_COMMAND_TREE_CONNECT_ANDX,2148074242,,,,,\HOST\IPC$
12,3,1466563857077282,2050,NT LM 0.12,SMB1_COMMAND_TREE_CONNECT_ANDX,2148074242,,,,,\HOST\IPC$
19,0,1466564798354803,0,NT LM 0.12,SMB1_COMMAND_NEGOTIATE_PROTOCOL,STATUS_SUCCESS,,,,,
17,1,1466564798354803,2050,NT LM 0.12,SMB1_COMMAND_SESSION_SETUP_ANDX,STATUS_MORE_PROCESSING_REQUIRED,Samba,Unix,Windows Server 2022 Datacenter 6.3,Windows Server 2022 Datacenter 20348,
15,2,1466564798354803,2050,NT LM 0.12,SMB1_COMMAND_TREE_CONNECT_ANDX,2148074242,,,,,\HOST\IPC$
